Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,ED,Aux01
260,00:08.63,,30319.0,37369.0,109079.0,38592.0,9.9,10.0,39477.0
261,00:08.66,,30292.0,37348.0,109079.0,38560.0,9.9,6.0,39440.0
262,00:08.69,,30260.0,37311.0,109075.0,38565.0,9.9,2.0,39392.0
263,00:08.73,,30236.0,37279.0,109066.0,38538.0,9.9,1.0,39349.0
264,00:08.76,,30207.0,37252.0,109062.0,38490.0,9.9,1.0,39338.0
265,00:08.80,,30185.0,37225.0,109060.0,38485.0,9.9,1.0,39328.0
266,00:08.83,,30164.0,37199.0,109054.0,38469.0,9.9,1.0,39317.0
267,00:08.86,,30132.0,37159.0,109055.0,38440.0,9.9,1.0,39282.0
268,00:08.90,,30105.0,37119.0,109053.0,38426.0,9.9,1.0,39248.0
269,00:08.93,,30084.0,37097.0,109048.0,38400.0,9.9,1.0,39248.0
270,00:08.96,,30073.0,37076.0,109042.0,38389.0,9.9,1.0,39258.0
271,00:09.00,,30039.0,37049.0,109034.0,38341.0,9.9,1.0,39288.0
272,00:09.03,,30004.0,37017.0,109034.0,38346.0,9.9,1.0,39333.0
273,00:09.06,,29983.0,36996.0,109037.0,38325.0,9.9,1.0,39354.0
274,00:09.09,,29967.0,36975.0,109040.0,38298.0,9.9,1.0,39376.0
275,00:09.13,,29940.0,36943.0,109033.0,38277.0,9.9,1.0,39373.0
276,00:09.16,,29919.0,36916.0,109029.0,38272.0,9.9,1.0,39365.0
277,00:09.19,,29903.0,36911.0,109032.0,38277.0,9.9,1.0,39370.0
278,00:09.23,,29876.0,36889.0,109033.0,38282.0,9.9,1.0,39381.0
279,00:09.26,,29836.0,36863.0,109025.0,38504.0,9.9,1.0,39400.0
280,00:09.30,,29807.0,36836.0,109018.0,38672.0,9.9,1.0,39461.0
281,00:09.33,,29791.0,36809.0,109021.0,38784.0,9.9,1.0,39504.0
282,00:09.36,,29775.0,36777.0,109028.0,38842.0,9.9,1.0,39536.0
283,00:09.40,,29745.0,36737.0,109026.0,38920.0,9.9,1.0,39530.0
284,00:09.43,,29716.0,36703.0,109025.0,38954.0,9.9,1.0,39520.0
285,00:09.46,,29700.0,36703.0,109025.0,38986.0,9.9,1.0,39520.0
286,00:09.50,,29695.0,36681.0,109025.0,38976.0,9.9,1.0,39536.0
287,00:09.53,,29679.0,36652.0,109029.0,38938.0,9.9,1.0,39533.0
288,00:09.56,,29673.0,36628.0,109035.0,38848.0,9.9,1.0,39504.0
289,00:09.59,,29668.0,36628.0,109036.0,38842.0,9.9,1.0,39456.0
290,00:09.63,,29663.0,36623.0,109036.0,38800.0,9.9,1.0,39434.0
291,00:09.66,,29647.0,36607.0,109033.0,38786.0,9.9,1.0,39434.0
292,00:09.69,,29637.0,36591.0,109027.0,38755.0,9.9,1.0,39440.0
293,00:09.73,,29621.0,36575.0,109027.0,38729.0,9.9,1.0,39433.0
294,00:09.76,,29615.0,36575.0,109030.0,38688.0,9.9,2.0,39440.0
295,00:09.80,,29607.0,36569.0,109028.0,38648.0,9.9,2.0,39501.0
296,00:09.83,,29601.0,36561.0,109034.0,38608.0,9.9,3.0,39573.0
297,00:09.86,,29588.0,36556.0,109039.0,38589.0,9.9,4.0,39621.0
298,00:09.90,,29583.0,36543.0,109035.0,38533.0,9.9,4.0,39674.0
299,00:09.93,,29575.0,36543.0,109033.0,38488.0,9.9,5.0,39738.0
300,00:09.96,,29567.0,36543.0,109032.0,38464.0,9.9,5.0,39772.0
301,00:10.00,,29567.0,36546.0,109022.0,38448.0,9.9,5.0,39804.0
302,00:10.03,,29557.0,36533.0,109018.0,38409.0,9.9,5.0,39840.0
303,00:10.06,,29551.0,36532.0,109016.0,38389.0,9.9,3.0,39850.0
304,00:10.09,,29551.0,36543.0,109021.0,38368.0,9.9,2.0,39872.0
305,00:10.13,,29540.0,36537.0,109021.0,38341.0,9.9,1.0,39904.0
306,00:10.16,,29519.0,36543.0,109012.0,38477.0,9.9,1.0,39962.0
307,00:10.19,,29508.0,36537.0,109007.0,38709.0,9.9,1.0,40048.0
308,00:10.23,,29513.0,36532.0,109004.0,38832.0,9.9,1.0,40106.0
309,00:10.26,,29519.0,36527.0,109005.0,38906.0,9.9,1.0,40170.0
310,00:10.30,,29519.0,36511.0,109004.0,38989.0,9.9,1.0,40186.0
311,00:10.33,,29503.0,36495.0,109005.0,39061.0,9.9,1.0,40149.0
312,00:10.36,,29503.0,36495.0,109002.0,39088.0,9.9,1.0,40112.0
313,00:10.40,,29492.0,36495.0,108996.0,39114.0,9.9,1.0,40085.0
314,00:10.43,,29497.0,36495.0,108997.0,39082.0,9.9,1.0,40058.0
315,00:10.46,,29503.0,36484.0,108996.0,39029.0,9.9,1.0,40000.0
316,00:10.50,,29503.0,36479.0,108992.0,38965.0,9.9,1.0,39952.0
317,00:10.53,,29503.0,36479.0,108989.0,38960.0,9.9,1.0,39898.0
318,00:10.56,,29505.0,36479.0,108987.0,38930.0,9.9,1.0,39853.0
319,00:10.59,,29508.0,36479.0,108987.0,38912.0,9.9,1.0,39840.0
320,00:10.63,,29508.0,36479.0,108986.0,38874.0,9.9,1.0,39829.0
321,00:10.66,,29503.0,36479.0,108983.0,38890.0,9.9,1.0,39813.0
322,00:10.69,,29503.0,36465.0,108974.0,38829.0,9.9,1.0,39778.0
323,00:10.73,,29503.0,36468.0,108968.0,38794.0,9.9,1.0,39770.0
324,00:10.76,,29503.0,36473.0,108968.0,38789.0,9.9,1.0,39776.0
