Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,DE,Aux02
2600,01:26.63,,52687.0,39721.0,119482.0,38421.0,,3.0,80.0
2601,01:26.66,,52687.0,39727.0,119477.0,38373.0,,3.0,96.0
2602,01:26.70,,52668.0,39727.0,119470.0,38298.0,,2.0,85.0
2603,01:26.73,,52629.0,39691.0,119450.0,38707.0,,1.0,83.0
2604,01:26.76,,52623.0,39618.0,119454.0,39366.0,,1.0,80.0
2605,01:26.79,,52623.0,39579.0,119473.0,39475.0,,1.0,80.0
2606,01:26.83,,52623.0,39577.0,119485.0,39376.0,,1.0,85.0
2607,01:26.86,,52628.0,39583.0,119485.0,39285.0,,1.0,90.0
2608,01:26.90,,52623.0,39583.0,119480.0,39173.0,,1.0,90.0
2609,01:26.93,,52628.0,39588.0,119481.0,38978.0,,1.0,85.0
2610,01:26.96,,52644.0,39609.0,119495.0,38944.0,,1.0,90.0
2611,01:27.00,,52671.0,39631.0,119480.0,38960.0,,1.0,80.0
2612,01:27.03,,52703.0,39652.0,119466.0,38992.0,,1.0,85.0
2613,01:27.06,,52775.0,39716.0,119472.0,38954.0,,1.0,82.0
2614,01:27.09,,52847.0,39791.0,119480.0,38858.0,,1.0,85.0
2615,01:27.13,,52905.0,39855.0,119477.0,38789.0,,1.0,80.0
2616,01:27.16,,52959.0,39908.0,119477.0,38693.0,,1.0,80.0
2617,01:27.20,,53063.0,40007.0,119479.0,38581.0,,1.0,80.0
2618,01:27.23,,53195.0,40143.0,119463.0,38476.0,,2.0,89.0
2619,01:27.26,,53317.0,40267.0,119470.0,38409.0,,3.0,89.0
2620,01:27.29,,53455.0,40389.0,119491.0,38332.0,,4.0,89.0
2621,01:27.33,,53551.0,40505.0,119479.0,38298.0,,4.0,85.0
2622,01:27.36,,53615.0,40575.0,119471.0,38373.0,,3.0,85.0
2623,01:27.40,,53679.0,40612.0,119481.0,38965.0,,3.0,90.0
2624,01:27.43,,53788.0,40665.0,119483.0,39320.0,,3.0,85.0
2625,01:27.46,C46,53887.0,40767.0,119466.0,39397.0,,1.0,85.0
2626,01:27.50,C46,53945.0,40863.0,119453.0,39301.0,,1.0,85.0
2627,01:27.53,C46,54025.0,40959.0,119451.0,39205.0,,1.0,80.0
2628,01:27.56,C46,54119.0,41097.0,119467.0,39024.0,,1.0,80.0
2629,01:27.59,C46,54185.0,41215.0,119473.0,38821.0,,1.0,85.0
2630,01:27.63,C46,54217.0,41263.0,119471.0,38821.0,,1.0,90.0
2631,01:27.66,C46,54255.0,41300.0,119466.0,38858.0,,1.0,80.0
2632,01:27.70,C46,54284.0,41329.0,119471.0,38896.0,,1.0,88.0
2633,01:27.73,C46,54274.0,41343.0,119471.0,38841.0,,1.0,92.0
2634,01:27.76,C46,54232.0,41288.0,119475.0,38726.0,,2.0,83.0
2635,01:27.79,C46,54165.0,41202.0,119473.0,38592.0,,1.0,83.0
2636,01:27.83,C46,54111.0,41135.0,119473.0,38490.0,,1.0,80.0
2637,01:27.86,C46,54063.0,41087.0,119470.0,38453.0,,1.0,85.0
2638,01:27.90,C46,54015.0,41039.0,119457.0,38400.0,,1.0,90.0
2639,01:27.93,C46,53940.0,40935.0,119463.0,38344.0,,1.0,88.0
2640,01:27.96,C46,53855.0,40847.0,119465.0,38288.0,,1.0,90.0
2641,01:28.00,C46,53791.0,40783.0,119464.0,38336.0,,2.0,80.0
2642,01:28.03,C46,53732.0,40681.0,119462.0,38837.0,,3.0,96.0
2643,01:28.06,C46,53665.0,40521.0,119469.0,39258.0,,3.0,93.0
2644,01:28.09,C46,53609.0,40415.0,119477.0,39354.0,,3.0,85.0
2645,01:28.13,C46,53567.0,40377.0,119470.0,39242.0,,3.0,85.0
2646,01:28.16,C46,53524.0,40340.0,119466.0,39146.0,,3.0,85.0
2647,01:28.20,C46,53460.0,40279.0,119474.0,38954.0,,3.0,82.0
2648,01:28.23,C46,53371.0,40207.0,119469.0,38742.0,,3.0,80.0
2649,01:28.26,C46,53295.0,40146.0,119453.0,38768.0,,2.0,80.0
2650,01:28.29,C46,53221.0,40072.0,119465.0,38825.0,,1.0,83.0
2651,01:28.33,C46,53172.0,40031.0,119477.0,38805.0,,1.0,90.0
2652,01:28.36,C46,53140.0,40004.0,119479.0,38736.0,,2.0,85.0
2653,01:28.40,C46,53113.0,39983.0,119468.0,38650.0,,3.0,90.0
2654,01:28.43,C46,53063.0,39945.0,119448.0,38541.0,,2.0,90.0
2655,01:28.46,C46,53017.0,39913.0,119438.0,38421.0,,1.0,80.0
2656,01:28.50,C46,52991.0,39903.0,119450.0,38368.0,,1.0,90.0
2657,01:28.53,C46,52953.0,39887.0,119458.0,38325.0,,1.0,96.0
2658,01:28.56,C46,52908.0,39863.0,119463.0,38245.0,,1.0,80.0
2659,01:28.59,C46,52863.0,39855.0,119469.0,38197.0,,1.0,90.0
2660,01:28.63,C46,52820.0,39817.0,119459.0,38266.0,,1.0,80.0
