"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux01"
267," 00:08.86"," ------13",33305,37732,116685,40917,-9.9,102,47952
268," 00:08.90"," ------13",33295,37743,116698,40906,-9.9,100,47861
269," 00:08.93"," ------13",33295,37753,116703,40885,-9.9,99,47781
270," 00:08.96"," ------13",33287,37767,116695,40834,-9.9,97,47736
271," 00:09.00"," ------13",33288,37778,116688,40736,-9.9,95,47612
272," 00:09.03"," ------13",33298,37794,116699,40652,-9.9,93,47577
273," 00:09.06"," ------13",33311,37807,116696,40585,-9.9,93,47478
274," 00:09.09"," ------13",33300,37807,116697,40544,-9.9,92,47520
275," 00:09.13"," ------13",33300,37807,116696,40501,-9.9,91,47413
276," 00:09.16"," ------13",33311,37817,116698,40458,-9.9,90,47312
277," 00:09.19"," ------13",33321,37833,116704,40402,-9.9,89,47266
278," 00:09.23"," ------13",33305,37855,116693,40576,-9.9,87,47253
279," 00:09.26"," ------13",33284,37844,116693,40901,-9.9,85,47296
280," 00:09.30"," ------13",33279,37823,116702,41072,-9.9,84,47349
281," 00:09.33"," ------13",33305,37833,116690,41109,-9.9,83,47752
282," 00:09.36"," ------13",33300,37855,116675,41098,-9.9,83,48240
283," 00:09.40"," ------13",33284,37876,116672,41061,-9.9,81,48341
284," 00:09.43"," ------13",33289,37892,116666,40997,-9.9,78,48336
285," 00:09.46"," ------13",33321,37948,116664,40882,-9.9,76,48128
286," 00:09.50"," ------13",33346,38005,116656,40822,-9.9,74,48035
287," 00:09.53"," ------13",33384,38056,116662,40800,-9.9,72,47792
288," 00:09.56"," ------13",33442,38120,116672,40764,-9.9,70,47632
289," 00:09.59"," ------13",33471,38169,116673,40736,-9.9,69,47568
290," 00:09.63"," ------13",33492,38207,116673,40672,-9.9,67,47584
291," 00:09.66"," ------13",33519,38228,116676,40634,-9.9,66,47557
292," 00:09.69"," ------13",33580,38287,116648,40565,-9.9,62,47469
293," 00:09.73"," ------13",33615,38335,116639,40496,-9.9,58,47413
